"No.","Time","Source","Destination","Protocol","Length","Time since reference or first frame","Info"
"283","3.936553344","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","1294","3.936553344","Initial, DCID=e38324bcfc29b4fb, PKN: 1, PING, CRYPTO, PADDING, PING, PING, CRYPTO, PADDING, CRYPTO, PING, PADDING, CRYPTO, PADDING, CRYPTO"
"284","3.936729183","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","141","3.936729183","0-RTT, DCID=e38324bcfc29b4fb"
"285","3.936918739","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","429","3.936918739","0-RTT, DCID=e38324bcfc29b4fb"
"299","3.998512937","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","145","3.998512937","Handshake, DCID=991d00a4239a50fb"
"302","4.003019462","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","98","4.003019462","Protected Payload (KP0), DCID=991d00a4239a50fb"
"312","4.008611253","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","102","4.008611253","Protected Payload (KP0), DCID=991d00a4239a50fb"
"313","4.008727432","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","98","4.008727432","Protected Payload (KP0), DCID=991d00a4239a50fb"
"314","4.008806859","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","98","4.008806859","Protected Payload (KP0), DCID=991d00a4239a50fb"
"315","4.008880575","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","98","4.008880575","Protected Payload (KP0), DCID=991d00a4239a50fb"
"321","4.039412418","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","99","4.039412418","Protected Payload (KP0), DCID=991d00a4239a50fb"
"328","4.052825397","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","98","4.052825397","Protected Payload (KP0), DCID=991d00a4239a50fb"
"335","4.062473479","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","98","4.062473479","Protected Payload (KP0), DCID=991d00a4239a50fb"
"336","4.062627951","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","98","4.062627951","Protected Payload (KP0), DCID=991d00a4239a50fb"
"337","4.062747393","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","98","4.062747393","Protected Payload (KP0), DCID=991d00a4239a50fb"
"348","4.068010944","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","98","4.068010944","Protected Payload (KP0), DCID=991d00a4239a50fb"
"349","4.068420426","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","98","4.068420426","Protected Payload (KP0), DCID=991d00a4239a50fb"
"350","4.068546435","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","98","4.068546435","Protected Payload (KP0), DCID=991d00a4239a50fb"
"351","4.068661693","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","98","4.068661693","Protected Payload (KP0), DCID=991d00a4239a50fb"
"352","4.068766648","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","98","4.068766648","Protected Payload (KP0), DCID=991d00a4239a50fb"
"353","4.095470419","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","99","4.095470419","Protected Payload (KP0), DCID=991d00a4239a50fb"
