"No.","Time","Source","Destination","Protocol","Length","Time since reference or first frame","Info"
"1","0.000000000","159.124.42.26","10.0.0.14","UDP","146","0.000000000","8801  >  60070 Len=102"
"2","0.077098261","10.0.0.14","159.124.42.26","UDP","108","0.077098261","60070  >  8801 Len=64"
"3","0.077179819","10.0.0.14","159.124.42.26","UDP","142","0.077179819","60070  >  8801 Len=98"
"4","0.171677291","10.0.0.14","159.124.42.26","TLSv1.2","106","0.171677291","Application Data"
"5","0.171826185","10.0.0.14","159.124.42.26","UDP","143","0.171826185","60070  >  8801 Len=99"
"6","0.179458675","159.124.42.26","10.0.0.14","UDP","142","0.179458675","8801  >  60070 Len=98"
"7","0.203129453","159.124.42.26","10.0.0.14","UDP","146","0.203129453","8801  >  60070 Len=102"
"8","0.245323125","159.124.42.26","10.0.0.14","UDP","117","0.245323125","8801  >  60070 Len=73"
"9","0.245331139","159.124.42.26","10.0.0.14","TLSv1.2","106","0.245331139","Application Data"
"10","0.274318315","10.0.0.14","159.124.42.26","UDP","142","0.274318315","60070  >  8801 Len=98"
"11","0.288423320","10.0.0.14","159.124.42.26","TCP","68","0.288423320","36690  >  443 [ACK] Seq=39 Ack=39 Win=501 Len=0 TSval=2183453965 TSecr=1967046973"
"12","0.374442713","10.0.0.14","159.124.42.26","UDP","143","0.374442713","60070  >  8801 Len=99"
"13","0.384535908","10.0.0.138","239.255.255.250","SSDP","448","0.384535908","NOTIFY * HTTP/1.1 "
"14","0.389524540","159.124.42.26","10.0.0.14","UDP","143","0.389524540","8801  >  60070 Len=99"
"15","0.389551465","10.0.0.138","239.255.255.250","SSDP","520","0.389551465","NOTIFY * HTTP/1.1 "
"16","0.389551657","10.0.0.138","239.255.255.250","SSDP","457","0.389551657","NOTIFY * HTTP/1.1 "
"17","0.389551756","10.0.0.138","239.255.255.250","SSDP","516","0.389551756","NOTIFY * HTTP/1.1 "
"18","0.389551856","10.0.0.138","239.255.255.250","SSDP","457","0.389551856","NOTIFY * HTTP/1.1 "
"19","0.389551955","10.0.0.138","239.255.255.250","SSDP","496","0.389551955","NOTIFY * HTTP/1.1 "
"20","0.389552051","10.0.0.138","239.255.255.250","SSDP","457","0.389552051","NOTIFY * HTTP/1.1 "
"21","0.389552152","10.0.0.138","239.255.255.250","SSDP","510","0.389552152","NOTIFY * HTTP/1.1 "
"22","0.389552251","10.0.0.138","239.255.255.250","SSDP","528","0.389552251","NOTIFY * HTTP/1.1 "
"23","0.389628048","10.0.0.138","239.255.255.250","SSDP","512","0.389628048","NOTIFY * HTTP/1.1 "
"24","0.389628150","10.0.0.138","239.255.255.250","SSDP","512","0.389628150","NOTIFY * HTTP/1.1 "
"25","0.389628249","159.124.42.26","10.0.0.14","TLSv1.2","117","0.389628249","Application Data"
"26","0.389663169","10.0.0.14","159.124.42.26","TCP","68","0.389663169","36690  >  443 [ACK] Seq=39 Ack=88 Win=501 Len=0 TSval=2183454066 TSecr=1967047012"
"27","0.389781608","10.0.0.14","159.124.42.26","TLSv1.2","135","0.389781608","Application Data"
"28","0.389854481","10.0.0.14","159.124.42.26","UDP","117","0.389854481","60070  >  8801 Len=73"
"29","0.406123591","159.124.42.26","10.0.0.14","UDP","145","0.406123591","8801  >  60070 Len=101"
"30","0.475442402","10.0.0.14","159.124.42.26","UDP","142","0.475442402","60070  >  8801 Len=98"
"31","0.576455585","10.0.0.14","159.124.42.26","UDP","143","0.576455585","60070  >  8801 Len=99"
"32","0.589325181","159.124.42.26","10.0.0.14","TCP","68","0.589325181","443  >  36690 [ACK] Seq=88 Ack=106 Win=16 Len=0 TSval=1967047222 TSecr=2183454066"
"33","0.593381254","159.124.42.26","10.0.0.14","UDP","148","0.593381254","8801  >  60070 Len=104"
"34","0.593400370","10.0.0.138","239.255.255.250","SSDP","512","0.593400370","NOTIFY * HTTP/1.1 "
"35","0.593400772","10.0.0.138","239.255.255.250","SSDP","512","0.593400772","NOTIFY * HTTP/1.1 "
"36","0.593400888","10.0.0.138","239.255.255.250","SSDP","528","0.593400888","NOTIFY * HTTP/1.1 "
"37","0.593400990","10.0.0.138","239.255.255.250","SSDP","510","0.593400990","NOTIFY * HTTP/1.1 "
"38","0.593401097","10.0.0.138","239.255.255.250","SSDP","457","0.593401097","NOTIFY * HTTP/1.1 "
"39","0.593401198","10.0.0.138","239.255.255.250","SSDP","496","0.593401198","NOTIFY * HTTP/1.1 "
"40","0.593401306","10.0.0.138","239.255.255.250","SSDP","457","0.593401306","NOTIFY * HTTP/1.1 "
"41","0.593401429","10.0.0.138","239.255.255.250","SSDP","516","0.593401429","NOTIFY * HTTP/1.1 "
"42","0.593507256","10.0.0.138","239.255.255.250","SSDP","457","0.593507256","NOTIFY * HTTP/1.1 "
"43","0.593507497","10.0.0.138","239.255.255.250","SSDP","520","0.593507497","NOTIFY * HTTP/1.1 "
"44","0.593507620","10.0.0.138","239.255.255.250","SSDP","448","0.593507620","NOTIFY * HTTP/1.1 "
"45","0.593542406","10.0.0.14","159.124.42.26","UDP","125","0.593542406","50014  >  8801 Len=81"
"46","0.593629982","10.0.0.14","159.124.42.26","TLSv1.2","106","0.593629982","Application Data"
