"No.","Time","Source","Destination","Protocol","Length","Time since reference or first frame","Info"
"280","3.967983179","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","1294","3.967983179","Initial, DCID=aa22d092cc6f9f61, PKN: 1, PADDING, PING, PADDING, CRYPTO, PING, PADDING, PING, PADDING, CRYPTO, CRYPTO, PING, PADDING"
"281","3.968425944","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","141","3.968425944","0-RTT, DCID=aa22d092cc6f9f61"
"282","3.968888623","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","429","3.968888623","0-RTT, DCID=aa22d092cc6f9f61"
"289","4.065703813","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","1294","4.065703813","Initial, DCID=560f0050a1363b82, PKN: 4, ACK, PADDING"
"294","4.066193817","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","145","4.066193817","Handshake, DCID=560f0050a1363b82"
"295","4.066281788","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","98","4.066281788","Protected Payload (KP0), DCID=560f0050a1363b82"
"305","4.068863713","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","102","4.068863713","Protected Payload (KP0), DCID=560f0050a1363b82"
"306","4.068901156","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","98","4.068901156","Protected Payload (KP0), DCID=560f0050a1363b82"
"307","4.068933499","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","98","4.068933499","Protected Payload (KP0), DCID=560f0050a1363b82"
"308","4.068956174","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","98","4.068956174","Protected Payload (KP0), DCID=560f0050a1363b82"
"315","4.098308009","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","99","4.098308009","Protected Payload (KP0), DCID=560f0050a1363b82"
