"No.","Time","Source","Destination","Protocol","Length","Time since reference or first frame","Info"
"1","0.000000000","10.0.0.14","159.124.42.26","UDP","348","0.000000000","60070  >  8801 Len=304"
"2","0.019541857","10.0.0.14","159.124.42.26","UDP","333","0.019541857","60070  >  8801 Len=289"
"3","0.038264624","10.0.0.14","159.124.42.26","UDP","319","0.038264624","60070  >  8801 Len=275"
"4","0.057460129","10.0.0.14","159.124.42.26","UDP","311","0.057460129","60070  >  8801 Len=267"
"5","0.076019074","10.0.0.14","159.124.42.26","UDP","295","0.076019074","60070  >  8801 Len=251"
"6","0.083410176","159.124.42.26","10.0.0.14","UDP","142","0.083410176","8801  >  60070 Len=98"
"7","0.095543581","10.0.0.14","159.124.42.26","UDP","276","0.095543581","60070  >  8801 Len=232"
"8","0.114954796","10.0.0.14","159.124.42.26","UDP","272","0.114954796","60070  >  8801 Len=228"
"9","0.139249506","10.0.0.14","159.124.42.26","UDP","298","0.139249506","60070  >  8801 Len=254"
"10","0.158445096","10.0.0.14","159.124.42.26","UDP","327","0.158445096","60070  >  8801 Len=283"
"11","0.161332398","159.124.42.26","10.0.0.14","UDP","119","0.161332398","8801  >  60070 Len=75"
"12","0.177545282","10.0.0.14","159.124.42.26","UDP","341","0.177545282","60070  >  8801 Len=297"
"13","0.182559950","159.124.42.26","10.0.0.14","UDP","143","0.182559950","8801  >  60070 Len=99"
"14","0.196926275","10.0.0.14","159.124.42.26","UDP","340","0.196926275","60070  >  8801 Len=296"
"15","0.216509616","10.0.0.14","159.124.42.26","UDP","331","0.216509616","60070  >  8801 Len=287"
"16","0.235340040","10.0.0.14","159.124.42.26","UDP","324","0.235340040","60070  >  8801 Len=280"
"17","0.257105590","10.0.0.14","159.124.42.26","UDP","321","0.257105590","60070  >  8801 Len=277"
"18","0.275195669","10.0.0.14","159.124.42.26","UDP","319","0.275195669","60070  >  8801 Len=275"
"19","0.285325665","159.124.42.26","10.0.0.14","UDP","142","0.285325665","8801  >  60070 Len=98"
"20","0.285705248","10.0.0.14","159.124.42.26","UDP","117","0.285705248","60070  >  8801 Len=73"
