"No.","Time","Source","Destination","Protocol","Length","Time since reference or first frame","Info"
"525","4.597943679","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:c8:face:b00c:0:167","UDP","246","4.597943679","53715  >  443 Len=182"
"536","4.653526019","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:c8:face:b00c:0:167","UDP","102","4.653526019","53715  >  443 Len=38"
"537","4.669589926","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:c8:face:b00c:0:167","UDP","99","4.669589926","53715  >  443 Len=35"
"542","4.764870871","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:c8:face:b00c:0:167","UDP","94","4.764870871","53715  >  443 Len=30"
"556","4.783485635","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:c8:face:b00c:0:167","UDP","98","4.783485635","53715  >  443 Len=34"
"570","4.804862843","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:c8:face:b00c:0:167","UDP","99","4.804862843","53715  >  443 Len=35"
"573","4.811284080","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:c8:face:b00c:0:167","UDP","100","4.811284080","53715  >  443 Len=36"
"574","4.811344299","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:c8:face:b00c:0:167","UDP","100","4.811344299","53715  >  443 Len=36"
"577","4.830345021","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:c8:face:b00c:0:167","UDP","100","4.830345021","53715  >  443 Len=36"
"592","4.847417198","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:c8:face:b00c:0:167","UDP","100","4.847417198","53715  >  443 Len=36"
"603","4.863080059","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:c8:face:b00c:0:167","UDP","100","4.863080059","53715  >  443 Len=36"
"634","4.997263479","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:c8:face:b00c:0:167","UDP","99","4.997263479","53715  >  443 Len=35"
"644","5.004178145","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","1294","5.004178145","Initial, DCID=74fe9d38b1aded95, PKN: 1, PING, PING, CRYPTO, PING, PING, PING, PING, PADDING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, CRYPTO"
"645","5.004570128","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","144","5.004570128","0-RTT, DCID=74fe9d38b1aded95"
"646","5.005351143","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","706","5.005351143","0-RTT, DCID=74fe9d38b1aded95"
"658","5.063330609","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:1c2:face:b00c:0:167","QUIC","823","5.063330609","Protected Payload (KP0), DCID=b61d006a05f2ea13"
