"No.","Time","Source","Destination","Protocol","Length","Time since reference or first frame","Info"
"89","1.039366","10.0.0.14","206.247.61.33","TCP","68","1.039366000","48200  >  443 [ACK] Seq=1 Ack=73 Win=501 Len=0 TSval=1279067693 TSecr=3341572386"
"94","1.065425","10.0.0.14","206.247.61.33","TLSv1.2","111","1.065425000","Application Data"
"126","1.316461","10.0.0.14","206.247.61.33","TLSv1.2","111","1.316461000","Application Data"
"160","1.577181","10.0.0.14","206.247.61.33","TLSv1.2","106","1.577181000","Application Data"
"191","1.787374","10.0.0.14","206.247.61.33","TCP","68","1.787374000","48200  >  443 [ACK] Seq=125 Ack=232 Win=501 Len=0 TSval=1279068441 TSecr=3341573099"
"192","1.787606","10.0.0.14","206.247.61.33","TLSv1.2","135","1.787606000","Application Data"
"227","2.079124","10.0.0.14","206.247.61.33","TLSv1.2","111","2.079124000","Application Data"
"260","2.324628","10.0.0.14","206.247.61.33","TLSv1.2","111","2.324628000","Application Data"
"300","2.571483","10.0.0.14","206.247.61.33","TLSv1.2","111","2.571483000","Application Data"
"306","2.640664","10.0.0.14","206.247.61.33","TLSv1.2","106","2.640664000","Application Data"
"315","2.674679","2a06:c701:472d:c000:6fff:6e94:31da:5893","2407:30c0:182::aa72:3406","TCP","88","2.674679000","[TCP ACKed unseen segment] 57128  >  443 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=1675745644 TSecr=4056555975"
"325","2.769889","10.0.0.14","206.247.61.33","TCP","68","2.769889000","48214  >  443 [ACK] Seq=39 Ack=50 Win=501 Len=0 TSval=1279069424 TSecr=3341574115"
"326","2.770137","10.0.0.14","206.247.61.33","TLSv1.2","135","2.770137000","Application Data"
"334","2.838079","10.0.0.14","206.247.61.33","TCP","68","2.838079000","48214  >  443 [ACK] Seq=106 Ack=88 Win=501 Len=0 TSval=1279069492 TSecr=3341574137"
"362","3.039400","10.0.0.14","206.247.61.33","TLSv1.2","111","3.039400000","Application Data"
"372","3.126090","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:c8:face:b00c:0:167","TCP","88","3.126090000","41846  >  443 [ACK] Seq=1 Ack=78 Win=501 Len=0 TSval=3686276663 TSecr=439474345"
"437","3.753215","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:c8:face:b00c:0:167","TCP","88","3.753215000","41846  >  443 [ACK] Seq=1 Ack=810 Win=496 Len=0 TSval=3686277290 TSecr=439475001"
"450","3.901290","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:c8:face:b00c:0:167","TCP","88","3.901290000","41846  >  443 [ACK] Seq=1 Ack=1577 Win=493 Len=0 TSval=3686277438 TSecr=439475148"
"494","4.422638","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","179","4.422638000","Application Data"
"539","4.718058","2a06:c701:472d:c000:6fff:6e94:31da:5893","2407:30c0:182::aa72:3404","TCP","88","4.718058000","45500  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=217222250 TSecr=2074973576"
"607","4.965844","2a06:c701:472d:c000:6fff:6e94:31da:5893","2600:9000:2024:a00:e:4185:5680:93a1","TLSv1.2","156","4.965844000","Application Data"
"608","4.969473","2a06:c701:472d:c000:6fff:6e94:31da:5893","2600:9000:2024:a00:e:4185:5680:93a1","TLSv1.2","189","4.969473000","Application Data, Application Data"
"615","4.974454","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","163","4.974454000","Application Data"
"627","4.988856","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","184","4.988856000","Application Data"
"653","5.042005","2a06:c701:472d:c000:6fff:6e94:31da:5893","2600:9000:2024:a00:e:4185:5680:93a1","TCP","88","5.042005000","43746  >  443 [ACK] Seq=170 Ack=40 Win=501 Len=0 TSval=2199288833 TSecr=3864262490"
"661","5.098041","10.0.0.14","206.247.61.33","TCP","68","5.098041000","48200  >  443 [ACK] Seq=364 Ack=592 Win=501 Len=0 TSval=1279071752 TSecr=3341576388"
"662","5.114138","10.0.0.14","206.247.61.33","TLSv1.2","111","5.114138000","Application Data"
"665","5.127410","2a06:c701:472d:c000:6fff:6e94:31da:5893","2600:9000:2024:a00:e:4185:5680:93a1","TCP","88","5.127410000","43746  >  443 [ACK] Seq=170 Ack=1068 Win=493 Len=0 TSval=2199288918 TSecr=3864262573"
"667","5.128261","2a06:c701:472d:c000:6fff:6e94:31da:5893","2600:9000:2024:a00:e:4185:5680:93a1","TCP","88","5.128261000","43746  >  443 [ACK] Seq=170 Ack=2099 Win=493 Len=0 TSval=2199288919 TSecr=3864262574"
