"No.","Time","Source","Destination","Protocol","Length","Time since reference or first frame","Info"
"241","3.557197242","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","1294","3.557197242","Initial, DCID=e20cef47d368b146, PKN: 1, PADDING, PING, PADDING, PING, PING, CRYPTO, PING, PADDING, CRYPTO, PADDING, PING, PING, PADDING, PING, CRYPTO, PING, PING"
"242","3.557400689","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","141","3.557400689","0-RTT, DCID=e20cef47d368b146"
"243","3.557537726","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","429","3.557537726","0-RTT, DCID=e20cef47d368b146"
"251","3.615368156","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","145","3.615368156","Handshake, DCID=560540d5966dde82"
"252","3.615498751","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","98","3.615498751","Protected Payload (KP0), DCID=560540d5966dde82"
"257","3.620377398","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","102","3.620377398","Protected Payload (KP0), DCID=560540d5966dde82"
"258","3.620420707","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","98","3.620420707","Protected Payload (KP0), DCID=560540d5966dde82"
"264","3.620979356","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","98","3.620979356","Protected Payload (KP0), DCID=560540d5966dde82"
"265","3.621023225","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","98","3.621023225","Protected Payload (KP0), DCID=560540d5966dde82"
"266","3.653670876","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","99","3.653670876","Protected Payload (KP0), DCID=560540d5966dde82"
"273","3.671545471","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","98","3.671545471","Protected Payload (KP0), DCID=560540d5966dde82"
"278","3.672884658","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","98","3.672884658","Protected Payload (KP0), DCID=560540d5966dde82"
"279","3.672938200","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","98","3.672938200","Protected Payload (KP0), DCID=560540d5966dde82"
"289","3.674882440","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","98","3.674882440","Protected Payload (KP0), DCID=560540d5966dde82"
"290","3.675030615","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","98","3.675030615","Protected Payload (KP0), DCID=560540d5966dde82"
"291","3.675078499","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","98","3.675078499","Protected Payload (KP0), DCID=560540d5966dde82"
"292","3.675123420","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","98","3.675123420","Protected Payload (KP0), DCID=560540d5966dde82"
"293","3.675199423","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","98","3.675199423","Protected Payload (KP0), DCID=560540d5966dde82"
"297","3.675751541","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","98","3.675751541","Protected Payload (KP0), DCID=560540d5966dde82"
"298","3.701989770","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","99","3.701989770","Protected Payload (KP0), DCID=560540d5966dde82"
"301","3.705616937","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","98","3.705616937","Protected Payload (KP0), DCID=560540d5966dde82"
"307","3.724013993","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","QUIC","98","3.724013993","Protected Payload (KP0), DCID=560540d5966dde82"
