"No.","Time","Source","Destination","Protocol","Length","Time since reference or first frame","Info"
"426","5.825791028","192.168.213.150","157.240.252.60","QUIC","1292","5.825791028","Initial, DCID=a4d86a52ea860f48, PKN: 1, PING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO"
"427","5.826094143","192.168.213.150","157.240.252.60","QUIC","117","5.826094143","0-RTT, DCID=a4d86a52ea860f48"
"428","5.826404243","192.168.213.150","157.240.252.60","QUIC","407","5.826404243","0-RTT, DCID=a4d86a52ea860f48"
"444","5.944099274","192.168.213.150","157.240.252.60","QUIC","1292","5.944099274","Protected Payload (KP0), DCID=b81d003c06831248"
"445","5.944126198","192.168.213.150","157.240.252.60","QUIC","115","5.944126198","Handshake, DCID=b81d003c06831248"
"447","5.976357294","192.168.213.150","157.240.252.60","QUIC","77","5.976357294","Protected Payload (KP0), DCID=b81d003c06831248"
"457","6.035895300","192.168.213.150","157.240.252.60","QUIC","76","6.035895300","Protected Payload (KP0), DCID=b81d003c06831248"
"469","6.040145361","192.168.213.150","157.240.252.60","QUIC","76","6.040145361","Protected Payload (KP0), DCID=b81d003c06831248"
"470","6.040360484","192.168.213.150","157.240.252.60","QUIC","80","6.040360484","Protected Payload (KP0), DCID=b81d003c06831248"
"471","6.040498937","192.168.213.150","157.240.252.60","QUIC","78","6.040498937","Protected Payload (KP0), DCID=b81d003c06831248"
"472","6.040550988","192.168.213.150","157.240.252.60","QUIC","76","6.040550988","Protected Payload (KP0), DCID=b81d003c06831248"
"473","6.040629724","192.168.213.150","157.240.252.60","QUIC","76","6.040629724","Protected Payload (KP0), DCID=b81d003c06831248"
"474","6.040726989","192.168.213.150","157.240.252.60","QUIC","76","6.040726989","Protected Payload (KP0), DCID=b81d003c06831248"
"475","6.040791150","192.168.213.150","157.240.252.60","QUIC","76","6.040791150","Protected Payload (KP0), DCID=b81d003c06831248"
"478","6.042337528","192.168.213.150","157.240.252.60","QUIC","76","6.042337528","Protected Payload (KP0), DCID=b81d003c06831248"
"491","6.136729872","192.168.213.150","157.240.252.60","QUIC","76","6.136729872","Protected Payload (KP0), DCID=b81d003c06831248"
"505","6.159964856","192.168.213.150","157.240.252.60","QUIC","76","6.159964856","Protected Payload (KP0), DCID=b81d003c06831248"
"506","6.160059346","192.168.213.150","157.240.252.60","QUIC","76","6.160059346","Protected Payload (KP0), DCID=b81d003c06831248"
"507","6.160125647","192.168.213.150","157.240.252.60","QUIC","76","6.160125647","Protected Payload (KP0), DCID=b81d003c06831248"
"508","6.160192159","192.168.213.150","157.240.252.60","QUIC","78","6.160192159","Protected Payload (KP0), DCID=b81d003c06831248"
"509","6.160243927","192.168.213.150","157.240.252.60","QUIC","76","6.160243927","Protected Payload (KP0), DCID=b81d003c06831248"
"510","6.160314593","192.168.213.150","157.240.252.60","QUIC","78","6.160314593","Protected Payload (KP0), DCID=b81d003c06831248"
"511","6.160361487","192.168.213.150","157.240.252.60","QUIC","78","6.160361487","Protected Payload (KP0), DCID=b81d003c06831248"
"512","6.160405896","192.168.213.150","157.240.252.60","QUIC","76","6.160405896","Protected Payload (KP0), DCID=b81d003c06831248"
"524","6.161678279","192.168.213.150","157.240.252.60","QUIC","76","6.161678279","Protected Payload (KP0), DCID=b81d003c06831248"
"525","6.161760871","192.168.213.150","157.240.252.60","QUIC","76","6.161760871","Protected Payload (KP0), DCID=b81d003c06831248"
"526","6.161866558","192.168.213.150","157.240.252.60","QUIC","76","6.161866558","Protected Payload (KP0), DCID=b81d003c06831248"
"527","6.161990667","192.168.213.150","157.240.252.60","QUIC","76","6.161990667","Protected Payload (KP0), DCID=b81d003c06831248"
"528","6.162063968","192.168.213.150","157.240.252.60","QUIC","81","6.162063968","Protected Payload (KP0), DCID=b81d003c06831248"
"529","6.192695002","192.168.213.150","157.240.252.60","QUIC","77","6.192695002","Protected Payload (KP0), DCID=b81d003c06831248"
"536","6.221713589","192.168.213.150","157.240.252.60","QUIC","76","6.221713589","Protected Payload (KP0), DCID=b81d003c06831248"
"540","6.230962658","192.168.213.150","157.240.252.60","QUIC","76","6.230962658","Protected Payload (KP0), DCID=b81d003c06831248"
"544","6.244084627","192.168.213.150","157.240.252.60","QUIC","78","6.244084627","Protected Payload (KP0), DCID=b81d003c06831248"
"545","6.244240022","192.168.213.150","157.240.252.60","QUIC","78","6.244240022","Protected Payload (KP0), DCID=b81d003c06831248"
"546","6.244352684","192.168.213.150","157.240.252.60","QUIC","76","6.244352684","Protected Payload (KP0), DCID=b81d003c06831248"
"550","6.261563843","192.168.213.150","157.240.252.60","QUIC","76","6.261563843","Protected Payload (KP0), DCID=b81d003c06831248"
"724","7.784887457","192.168.213.150","172.217.22.110","QUIC","1292","7.784887457","Initial, DCID=6deab8f6255f6e9d, PKN: 1, PING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, PING, CRYPTO, PING, PING, CRYPTO, CRYPTO"
"725","7.785459592","192.168.213.150","172.217.22.110","QUIC","119","7.785459592","0-RTT, DCID=6deab8f6255f6e9d"
"746","7.886039504","192.168.213.150","172.217.22.110","QUIC","1292","7.886039504","Handshake, DCID=edeab8f6255f6e9d"
"747","7.886688606","192.168.213.150","172.217.22.110","QUIC","1288","7.886688606","Protected Payload (KP0), DCID=edeab8f6255f6e9d"
"748","7.886760964","192.168.213.150","172.217.22.110","QUIC","1292","7.886760964","Protected Payload (KP0), DCID=edeab8f6255f6e9d"
"749","7.886800779","192.168.213.150","172.217.22.110","QUIC","915","7.886800779","Protected Payload (KP0), DCID=edeab8f6255f6e9d"
"753","7.892992131","192.168.213.150","172.217.22.110","QUIC","74","7.892992131","Protected Payload (KP0), DCID=edeab8f6255f6e9d"
