"No.","Time","Source","Destination","Protocol","Length","Time since reference or first frame","Info"
"4","0.171677","10.0.0.14","159.124.42.26","TLSv1.2","106","0.171677000","Application Data"
"11","0.288423","10.0.0.14","159.124.42.26","TCP","68","0.288423000","36690  >  443 [ACK] Seq=39 Ack=39 Win=501 Len=0 TSval=2183453965 TSecr=1967046973"
"26","0.389663","10.0.0.14","159.124.42.26","TCP","68","0.389663000","36690  >  443 [ACK] Seq=39 Ack=88 Win=501 Len=0 TSval=2183454066 TSecr=1967047012"
"27","0.389781","10.0.0.14","159.124.42.26","TLSv1.2","135","0.389781000","Application Data"
"46","0.593630","10.0.0.14","159.124.42.26","TLSv1.2","106","0.593630000","Application Data"
"49","0.658878","10.0.0.14","159.124.42.26","TCP","68","0.658878000","36698  >  443 [ACK] Seq=39 Ack=39 Win=501 Len=0 TSval=2183454335 TSecr=1967047385"
"62","0.796808","10.0.0.14","159.124.42.26","TCP","68","0.796808000","36698  >  443 [ACK] Seq=39 Ack=88 Win=501 Len=0 TSval=2183454473 TSecr=1967047438"
"63","0.797001","10.0.0.14","159.124.42.26","TLSv1.2","135","0.797001000","Application Data"
"84","1.035860","10.0.0.14","159.124.42.26","TLSv1.2","111","1.035860000","Application Data"
"225","3.080468","10.0.0.14","159.124.42.26","TCP","68","3.080468000","36690  >  443 [ACK] Seq=149 Ack=232 Win=501 Len=0 TSval=2183456757 TSecr=1967049754"
"226","3.087278","10.0.0.14","159.124.42.26","TLSv1.2","111","3.087278000","Application Data"
"236","3.279791","10.0.0.14","159.124.42.26","TCP","68","3.279791000","36690  >  443 [ACK] Seq=192 Ack=304 Win=501 Len=0 TSval=2183456956 TSecr=1967050008"
"237","3.280004","10.0.0.14","159.124.42.26","TLSv1.2","111","3.280004000","Application Data"
"244","3.440446","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","TCP","88","3.440446000","50310  >  443 [ACK] Seq=1 Ack=252 Win=500 Len=0 TSval=1246460421 TSecr=607079672"
"249","3.584281","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","184","3.584281000","Application Data"
"260","3.836468","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","181","3.836468000","Application Data"
"261","3.837032","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","181","3.837032000","Application Data"
"263","3.879955","10.0.0.14","159.124.42.26","TLSv1.2","111","3.879955000","Application Data"
"273","3.901715","10.0.0.14","159.124.42.26","TLSv1.2","106","3.901715000","Application Data"
"293","3.988075","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","TCP","88","3.988075000","50310  >  443 [ACK] Seq=283 Ack=326 Win=501 Len=0 TSval=1246460969 TSecr=607080220"
"294","3.988124","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","TCP","88","3.988124000","50310  >  443 [ACK] Seq=283 Ack=400 Win=501 Len=0 TSval=1246460969 TSecr=607080220"
"316","4.016381","10.0.0.14","159.124.42.26","TCP","68","4.016381000","36690  >  443 [ACK] Seq=316 Ack=401 Win=501 Len=0 TSval=2183457693 TSecr=1967050697"
"318","4.031341","10.0.0.14","159.124.42.26","TCP","68","4.031341000","36690  >  443 [ACK] Seq=316 Ack=450 Win=501 Len=0 TSval=2183457708 TSecr=1967050759"
"319","4.031552","10.0.0.14","159.124.42.26","TLSv1.2","135","4.031552000","Application Data"
"323","4.047124","2a06:c701:472d:c000:f796:c198:3a7:a863","2407:30c0:182::aa72:3406","TCP","88","4.047124000","[TCP ACKed unseen segment] 57446  >  443 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=680111426 TSecr=3899337116"
"396","4.260344","2a06:c701:472d:c000:f796:c198:3a7:a863","2407:30c0:182::aa72:3406","TCP","88","4.260344000","[TCP ACKed unseen segment] 57458  >  443 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=680111639 TSecr=2970038552"
"397","4.299861","2a06:c701:472d:c000:f796:c198:3a7:a863","2600:9000:2024:f800:e:4185:5680:93a1","TLSv1.2","156","4.299861000","Application Data"
"398","4.300195","2a06:c701:472d:c000:f796:c198:3a7:a863","2600:9000:2024:f800:e:4185:5680:93a1","TLSv1.2","127","4.300195000","Application Data"
"399","4.301070","2a06:c701:472d:c000:f796:c198:3a7:a863","2600:9000:2024:f800:e:4185:5680:93a1","TLSv1.2","150","4.301070000","Application Data"
"404","4.356350","2a06:c701:472d:c000:f796:c198:3a7:a863","2600:9000:2024:f800:e:4185:5680:93a1","TCP","88","4.356350000","41114  >  443 [ACK] Seq=170 Ack=40 Win=501 Len=0 TSval=2397529590 TSecr=1132203585"
"407","4.382590","2a06:c701:472d:c000:f796:c198:3a7:a863","2600:9000:2024:f800:e:4185:5680:93a1","TCP","88","4.382590000","41114  >  443 [ACK] Seq=170 Ack=1066 Win=493 Len=0 TSval=2397529616 TSecr=1132203654"
"408","4.383463","2a06:c701:472d:c000:f796:c198:3a7:a863","2600:9000:2024:f800:e:4185:5680:93a1","TLSv1.2","123","4.383463000","Application Data"
"410","4.383868","10.0.0.14","159.124.42.26","TLSv1.2","106","4.383868000","Application Data"
"412","4.392169","2a06:c701:472d:c000:f796:c198:3a7:a863","2600:9000:2024:f800:e:4185:5680:93a1","TLSv1.2","123","4.392169000","Application Data"
"424","4.451524","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","TCP","88","4.451524000","50310  >  443 [ACK] Seq=283 Ack=1850 Win=490 Len=0 TSval=1246461432 TSecr=607080683"
"426","4.452801","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","TCP","88","4.452801000","50310  >  443 [ACK] Seq=283 Ack=2919 Win=493 Len=0 TSval=1246461433 TSecr=607080684"
"428","4.457420","10.0.0.14","159.124.42.26","TCP","68","4.457420000","36698  >  443 [ACK] Seq=144 Ack=175 Win=501 Len=0 TSval=2183458134 TSecr=1967051175"
"429","4.457551","10.0.0.14","159.124.42.26","TLSv1.2","135","4.457551000","Application Data"
"481","4.799782","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","187","4.799782000","Application Data"
"488","4.825817","10.0.0.14","159.124.42.26","TLSv1.2","139","4.825817000","Application Data"
"500","4.895114","10.0.0.14","159.124.42.26","TCP","68","4.895114000","36690  >  443 [ACK] Seq=454 Ack=564 Win=501 Len=0 TSval=2183458572 TSecr=1967051622"
"502","4.906412","10.0.0.14","159.124.42.26","TLSv1.2","111","4.906412000","Application Data"
"735","5.306379","10.0.0.14","159.124.42.26","TLSv1.2","111","5.306379000","Application Data"
"825","7.186919","10.0.0.14","54.243.239.188","TCP","76","7.186919000","42442  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2514182319 TSecr=0 WS=128"
"835","7.342499","10.0.0.14","54.243.239.188","TCP","68","7.342499000","42442  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2514182475 TSecr=613101909"
"836","7.343083","10.0.0.14","54.243.239.188","TLSv1.2","585","7.343083000","Client Hello"
"843","7.503478","10.0.0.14","54.243.239.188","TCP","68","7.503478000","42442  >  443 [ACK] Seq=518 Ack=157 Win=64128 Len=0 TSval=2514182636 TSecr=613102072"
"845","7.510160","10.0.0.14","54.243.239.188","TLSv1.2","119","7.510160000","Change Cipher Spec, Encrypted Handshake Message"
"846","7.510485","10.0.0.14","54.243.239.188","TLSv1.2","173","7.510485000","Application Data"
"847","7.510762","10.0.0.14","54.243.239.188","TLSv1.2","425","7.510762000","Application Data"
"848","7.510821","10.0.0.14","54.243.239.188","TLSv1.2","2076","7.510821000","Application Data"
"853","7.623170","10.0.0.14","104.121.10.34","TLSv1.2","713","7.623170000","Application Data"
"854","7.655900","10.0.0.14","159.124.42.26","TLSv1.2","106","7.655900000","Application Data"
"858","7.676431","10.0.0.14","54.243.239.188","TCP","68","7.676431000","42442  >  443 [ACK] Seq=3039 Ack=264 Win=64128 Len=0 TSval=2514182809 TSecr=613102233"
"859","7.676569","10.0.0.14","54.243.239.188","TLSv1.2","106","7.676569000","Application Data"
"867","7.728471","10.0.0.14","54.243.239.188","TCP","68","7.728471000","42442  >  443 [ACK] Seq=3077 Ack=636 Win=64128 Len=0 TSval=2514182861 TSecr=613102239"
"868","7.764388","10.0.0.14","159.124.42.26","TCP","68","7.764388000","36690  >  443 [ACK] Seq=578 Ack=674 Win=501 Len=0 TSval=2183461441 TSecr=1967054446"
"870","7.778078","10.0.0.14","159.124.42.26","TCP","68","7.778078000","36690  >  443 [ACK] Seq=578 Ack=723 Win=501 Len=0 TSval=2183461455 TSecr=1967054506"
"871","7.778301","10.0.0.14","159.124.42.26","TLSv1.2","135","7.778301000","Application Data"
"876","7.872679","10.0.0.14","104.121.10.34","TCP","68","7.872679000","46628  >  443 [ACK] Seq=646 Ack=1735 Win=488 Len=0 TSval=3058238524 TSecr=869937600"
"878","7.877416","10.0.0.14","104.121.10.34","TLSv1.2","735","7.877416000","Application Data"
"889","8.153658","10.0.0.14","159.124.42.26","TLSv1.2","106","8.153658000","Application Data"
"895","8.200130","10.0.0.14","104.121.10.34","TCP","68","8.200130000","46628  >  443 [ACK] Seq=1313 Ack=3652 Win=501 Len=0 TSval=3058238852 TSecr=869937927"
"897","8.203601","10.0.0.14","104.121.10.34","TCP","68","8.203601000","46628  >  443 [ACK] Seq=1313 Ack=6450 Win=501 Len=0 TSval=3058238855 TSecr=869937928"
"900","8.205034","10.0.0.14","104.121.10.34","TCP","68","8.205034000","46628  >  443 [ACK] Seq=1313 Ack=9248 Win=501 Len=0 TSval=3058238857 TSecr=869937932"
"902","8.208504","10.0.0.14","104.121.10.34","TCP","68","8.208504000","46628  >  443 [ACK] Seq=1313 Ack=12046 Win=501 Len=0 TSval=3058238860 TSecr=869937936"
"905","8.216562","10.0.0.14","159.124.42.26","TLSv1.2","135","8.216562000","Application Data"
"908","8.252443","10.0.0.14","104.121.10.34","TCP","68","8.252443000","46628  >  443 [ACK] Seq=1313 Ack=13188 Win=501 Len=0 TSval=3058238904 TSecr=869937939"
"909","8.264408","10.0.0.14","159.124.42.26","TCP","68","8.264408000","36698  >  443 [ACK] Seq=316 Ack=262 Win=501 Len=0 TSval=2183461941 TSecr=1967054945"
"916","8.315154","10.0.0.14","35.174.127.31","TCP","68","8.315154000","52758  >  443 [ACK] Seq=1 Ack=39 Win=501 Len=0 TSval=3401870143 TSecr=1947534321"
"920","8.322357","10.0.0.14","140.82.112.26","TLSv1.2","97","8.322357000","Application Data"
"924","8.447622","10.0.0.14","52.203.140.246","TCP","80","8.447622000","47470  >  443 [ACK] Seq=1 Ack=4294967220 Win=501 Len=0 TSval=4290798078 TSecr=2972007125 SLE=1 SRE=2"
"926","8.450818","10.0.0.14","52.203.140.246","TCP","80","8.450818000","47470  >  443 [ACK] Seq=1 Ack=4294967266 Win=501 Len=0 TSval=4290798081 TSecr=2972021294 SLE=1 SRE=2"
"928","8.450855","10.0.0.14","52.203.140.246","TCP","68","8.450855000","47470  >  443 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=4290798081 TSecr=2972021294"
"929","8.451078","10.0.0.14","52.203.140.246","TCP","68","8.451078000","47470  >  443 [FIN, ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=4290798082 TSecr=2972021294"
"974","9.167178","2a06:c701:472d:c000:f796:c198:3a7:a863","2407:30c0:182::aa72:3406","TCP","88","9.167178000","[TCP Dup ACK 323#1] [TCP ACKed unseen segment] 57446  >  443 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=680116546 TSecr=3899337116"
"983","9.381168","2a06:c701:472d:c000:f796:c198:3a7:a863","2407:30c0:182::aa72:3406","TCP","88","9.381168000","[TCP Dup ACK 396#1] [TCP ACKed unseen segment] 57458  >  443 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=680116760 TSecr=2970038552"
"1023","10.313350","10.0.0.14","159.124.42.26","TLSv1.2","111","10.313350000","Application Data"
"1035","10.326049","10.0.0.14","159.124.42.26","TLSv1.2","822","10.326049000","Application Data"
"1051","10.460485","10.0.0.14","159.124.42.26","TCP","68","10.460485000","36690  >  443 [ACK] Seq=1442 Ack=838 Win=501 Len=0 TSval=2183464137 TSecr=1967057126"
"1104","11.283877","10.0.0.14","159.124.42.26","TCP","68","11.283877000","36690  >  443 [ACK] Seq=1442 Ack=910 Win=501 Len=0 TSval=2183464960 TSecr=1967058010"
"1105","11.284090","10.0.0.14","159.124.42.26","TLSv1.2","111","11.284090000","Application Data"
"1112","11.377107","10.0.0.14","159.124.42.26","TLSv1.2","271","11.377107000","Application Data"
"1117","11.415427","10.0.0.14","159.124.42.26","TLSv1.2","106","11.415427000","Application Data"
"1125","11.478304","10.0.0.14","159.124.42.26","TCP","68","11.478304000","36690  >  443 [ACK] Seq=1726 Ack=991 Win=501 Len=0 TSval=2183465155 TSecr=1967058172"
"1131","11.536633","10.0.0.14","159.124.42.26","TLSv1.2","135","11.536633000","Application Data"
"1144","11.883734","10.0.0.14","159.124.42.26","TLSv1.2","106","11.883734000","Application Data"
"1150","11.946734","10.0.0.14","159.124.42.26","TCP","68","11.946734000","36698  >  443 [ACK] Seq=354 Ack=300 Win=501 Len=0 TSval=2183465623 TSecr=1967058675"
"1153","11.961698","10.0.0.14","159.124.42.26","TCP","68","11.961698000","36698  >  443 [ACK] Seq=354 Ack=349 Win=501 Len=0 TSval=2183465638 TSecr=1967058690"
"1154","11.961882","10.0.0.14","159.124.42.26","TLSv1.2","135","11.961882000","Application Data"
"1162","12.122532","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","TCP","88","12.122532000","50310  >  443 [ACK] Seq=382 Ack=3017 Win=501 Len=0 TSval=1246469103 TSecr=607088354"
"1164","12.193937","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","162","12.193937000","Application Data"
"1206","13.028446","10.0.0.14","159.124.42.26","TLSv1.2","111","13.028446000","Application Data"
"1275","13.973322","10.0.0.14","159.124.42.26","TLSv1.2","111","13.973322000","Application Data"
"1285","14.076512","10.0.0.14","159.124.42.26","TLSv1.2","111","14.076512000","Application Data"
