"No.","Time","Source","Destination","Protocol","Length","Time since reference or first frame","Info"
"57","0.818157","10.0.0.14","159.124.42.26","TLSv1.2","106","0.818157000","Application Data"
"66","0.886669","10.0.0.14","159.124.42.26","TCP","68","0.886669000","36690  >  443 [ACK] Seq=39 Ack=39 Win=501 Len=0 TSval=2184683889 TSecr=1968276953"
"71","0.945784","10.0.0.14","159.124.42.26","TCP","68","0.945784000","36690  >  443 [ACK] Seq=39 Ack=88 Win=501 Len=0 TSval=2184683948 TSecr=1968277010"
"72","0.945972","10.0.0.14","159.124.42.26","TLSv1.2","135","0.945972000","Application Data"
"93","1.217265","10.0.0.14","159.124.42.26","TLSv1.2","111","1.217265000","Application Data"
"98","1.275997","10.0.0.14","159.124.42.26","TLSv1.2","106","1.275997000","Application Data"
"109","1.352244","10.0.0.14","159.124.42.26","TCP","68","1.352244000","36698  >  443 [ACK] Seq=39 Ack=39 Win=501 Len=0 TSval=2184684354 TSecr=1968277418"
"113","1.371471","10.0.0.14","159.124.42.26","TCP","68","1.371471000","36698  >  443 [ACK] Seq=39 Ack=88 Win=501 Len=0 TSval=2184684373 TSecr=1968277437"
"114","1.371630","10.0.0.14","159.124.42.26","TLSv1.2","135","1.371630000","Application Data"
"166","1.979332","10.0.0.14","159.124.42.26","TLSv1.2","111","1.979332000","Application Data"
"245","3.504752","2a06:c701:472d:c000:f796:c198:3a7:a863","2407:30c0:182::aa72:3406","TCP","88","3.504752000","[TCP ACKed unseen segment] 57446  >  443 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=681340209 TSecr=3899337116"
"247","3.561451","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","TCP","88","3.561451000","60612  >  443 [ACK] Seq=1 Ack=1121 Win=493 Len=0 TSval=1247689867 TSecr=2323831712"
"256","3.722850","2a06:c701:472d:c000:f796:c198:3a7:a863","2407:30c0:182::aa72:3406","TCP","88","3.722850000","[TCP ACKed unseen segment] 57458  >  443 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=681340427 TSecr=2970038552"
"257","3.725068","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","184","3.725068000","Application Data"
"283","3.974609","10.0.0.14","159.124.42.26","TLSv1.2","111","3.974609000","Application Data"
"286","4.021895","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","181","4.021895000","Application Data"
"287","4.022256","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","181","4.022256000","Application Data"
"383","4.234153","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","TCP","88","4.234153000","60612  >  443 [ACK] Seq=283 Ack=1195 Win=501 Len=0 TSval=1247690540 TSecr=2323832390"
"385","4.241192","2a06:c701:472d:c000:f796:c198:3a7:a863","2a03:2880:f242:c8:face:b00c:0:167","TCP","88","4.241192000","60612  >  443 [ACK] Seq=283 Ack=1269 Win=501 Len=0 TSval=1247690547 TSecr=2323832393"
"390","4.299882","10.0.0.14","159.124.42.26","TLSv1.2","139","4.299882000","Application Data"
"391","4.362643","2a06:c701:472d:c000:f796:c198:3a7:a863","2600:9000:2024:8600:e:4185:5680:93a1","TLSv1.2","156","4.362643000","Application Data"
