"No.","Time","Source","Destination","Protocol","Length","Time since reference or first frame","Info"
"1","0.000000000","10.0.0.14","206.247.61.33","UDP","143","0.000000000","34626  >  8801 Len=99"
"2","0.004672847","206.247.61.33","10.0.0.14","UDP","292","0.004672847","8801  >  40490 Len=248"
"3","0.055234020","10.0.0.14","206.247.61.33","UDP","71","0.055234020","40490  >  8801 Len=27"
"4","0.056251164","206.247.61.33","10.0.0.14","UDP","71","0.056251164","8801  >  40490 Len=27"
"5","0.066506675","206.247.61.33","10.0.0.14","UDP","142","0.066506675","8801  >  34626 Len=98"
"6","0.066697187","10.0.0.14","206.247.61.33","UDP","71","0.066697187","40490  >  8801 Len=27"
"7","0.086735974","206.247.61.33","10.0.0.14","UDP","256","0.086735974","8801  >  40490 Len=212"
"8","0.098100848","10.0.0.14","206.247.61.33","UDP","142","0.098100848","34626  >  8801 Len=98"
"9","0.141111781","206.247.61.33","10.0.0.14","UDP","71","0.141111781","8801  >  40490 Len=27"
"10","0.148572581","206.247.61.33","10.0.0.14","UDP","255","0.148572581","8801  >  40490 Len=211"
"11","0.157938244","206.247.61.33","10.0.0.14","UDP","118","0.157938244","8801  >  34626 Len=74"
"12","0.158557874","206.247.61.33","10.0.0.14","UDP","256","0.158557874","8801  >  40490 Len=212"
"13","0.168774292","206.247.61.33","10.0.0.14","UDP","142","0.168774292","8801  >  34626 Len=98"
"14","0.169025339","10.0.0.14","206.247.61.33","UDP","71","0.169025339","40490  >  8801 Len=27"
"15","0.169202389","10.0.0.14","206.247.61.33","UDP","181","0.169202389","40490  >  8801 Len=137"
"16","0.195455995","10.0.0.14","206.247.61.33","UDP","143","0.195455995","34626  >  8801 Len=99"
"17","0.198709314","206.247.61.33","10.0.0.14","UDP","71","0.198709314","8801  >  40490 Len=27"
"18","0.249671256","206.247.61.33","10.0.0.14","UDP","71","0.249671256","8801  >  40490 Len=27"
"19","0.260676679","206.247.61.33","10.0.0.14","UDP","142","0.260676679","8801  >  34626 Len=98"
"20","0.271195521","206.247.61.33","10.0.0.14","UDP","255","0.271195521","8801  >  40490 Len=211"
"21","0.271421273","10.0.0.14","206.247.61.33","UDP","71","0.271421273","40490  >  8801 Len=27"
"22","0.281535133","206.247.61.33","10.0.0.14","UDP","298","0.281535133","8801  >  40490 Len=254"
"23","0.296181575","10.0.0.14","206.247.61.33","UDP","108","0.296181575","34626  >  8801 Len=64"
"24","0.296238595","10.0.0.14","206.247.61.33","UDP","142","0.296238595","34626  >  8801 Len=98"
"25","0.322056338","206.247.61.33","10.0.0.14","UDP","255","0.322056338","8801  >  40490 Len=211"
"26","0.362694251","206.247.61.33","10.0.0.14","UDP","141","0.362694251","8801  >  34626 Len=97"
"27","0.373601062","206.247.61.33","10.0.0.14","UDP","71","0.373601062","8801  >  40490 Len=27"
"28","0.373815041","10.0.0.14","206.247.61.33","UDP","71","0.373815041","40490  >  8801 Len=27"
"29","0.398407586","10.0.0.14","206.247.61.33","UDP","144","0.398407586","34626  >  8801 Len=100"
"30","0.403388955","206.247.61.33","10.0.0.14","UDP","317","0.403388955","8801  >  40490 Len=273"
"31","0.451396531","206.247.61.33","10.0.0.14","UDP","255","0.451396531","8801  >  40490 Len=211"
"32","0.465295860","206.247.61.33","10.0.0.14","UDP","142","0.465295860","8801  >  34626 Len=98"
"33","0.465500612","10.0.0.14","206.247.61.33","UDP","71","0.465500612","40490  >  8801 Len=27"
