"No.","Time","Source","Destination","Protocol","Length","Time since reference or first frame","Info"
"1","0.000000000","192.168.213.150","159.124.46.57","UDP","139","0.000000000","38716  >  8801 Len=97"
"2","0.019308143","192.168.213.150","159.124.46.57","UDP","141","0.019308143","38716  >  8801 Len=99"
"3","0.032890356","159.124.46.57","192.168.213.150","TLSv1.2","138","0.032890356","Application Data"
"4","0.032947614","192.168.213.150","159.124.46.57","TCP","66","0.032947614","56222  >  443 [ACK] Seq=1 Ack=73 Win=501 Len=0 TSval=4022271762 TSecr=2052108932"
"5","0.033177505","192.168.213.150","159.124.46.57","TLSv1.2","109","0.033177505","Application Data"
"6","0.041903278","192.168.213.150","159.124.46.57","UDP","140","0.041903278","38716  >  8801 Len=98"
"7","0.061032379","192.168.213.150","159.124.46.57","UDP","140","0.061032379","38716  >  8801 Len=98"
"8","0.080088153","192.168.213.150","159.124.46.57","UDP","141","0.080088153","38716  >  8801 Len=99"
"9","0.083060724","159.124.46.57","192.168.213.150","UDP","143","0.083060724","8801  >  38716 Len=101"
"10","0.083451437","192.168.213.150","159.124.46.57","UDP","115","0.083451437","38716  >  8801 Len=73"
"11","0.115203655","159.124.46.57","192.168.213.150","TCP","66","0.115203655","443  >  56222 [ACK] Seq=73 Ack=44 Win=16 Len=0 TSval=2052109014 TSecr=4022271762"
"12","0.174041449","159.124.46.57","192.168.213.150","UDP","142","0.174041449","8801  >  38716 Len=100"
"13","0.178454111","192.168.213.150","159.124.46.57","UDP","139","0.178454111","38716  >  8801 Len=97"
"14","0.276132501","159.124.46.57","192.168.213.150","UDP","146","0.276132501","8801  >  38716 Len=104"
"15","0.281866276","192.168.213.150","159.124.46.57","UDP","139","0.281866276","38716  >  8801 Len=97"
"16","0.360490927","159.124.46.57","192.168.213.150","UDP","311","0.360490927","8801  >  51364 Len=269"
"17","0.368358038","159.124.46.57","192.168.213.150","UDP","116","0.368358038","8801  >  38716 Len=74"
"18","0.378746799","159.124.46.57","192.168.213.150","UDP","147","0.378746799","8801  >  38716 Len=105"
"19","0.378938159","192.168.213.150","159.124.46.57","UDP","69","0.378938159","51364  >  8801 Len=27"
"20","0.379088208","192.168.213.150","159.124.46.57","UDP","178","0.379088208","51364  >  8801 Len=136"
"21","0.382820713","192.168.213.150","159.124.46.57","UDP","106","0.382820713","38716  >  8801 Len=64"
"22","0.382892530","192.168.213.150","159.124.46.57","UDP","140","0.382892530","38716  >  8801 Len=98"
"23","0.433151326","192.168.213.150","159.124.46.57","UDP","69","0.433151326","51364  >  8801 Len=27"
"24","0.480193505","159.124.46.57","192.168.213.150","UDP","145","0.480193505","8801  >  38716 Len=103"
"25","0.480422556","192.168.213.150","159.124.46.57","UDP","69","0.480422556","51364  >  8801 Len=27"
"26","0.482075922","159.124.46.57","192.168.213.150","UDP","69","0.482075922","8801  >  51364 Len=27"
"27","0.482100173","192.168.213.150","159.124.46.57","UDP","139","0.482100173","38716  >  8801 Len=97"
"28","0.532367402","192.168.213.150","159.124.46.57","TLSv1.2","104","0.532367402","Application Data"
"29","0.532456502","192.168.213.150","159.124.46.57","UDP","69","0.532456502","51364  >  8801 Len=27"
"30","0.535387873","159.124.46.57","192.168.213.150","UDP","69","0.535387873","8801  >  51364 Len=27"
"31","0.539790218","192.168.213.150","159.124.46.57","UDP","161","0.539790218","38716  >  8801 Len=119"
"32","0.559294734","192.168.213.150","159.124.46.57","UDP","219","0.559294734","38716  >  8801 Len=177"
"33","0.581591962","159.124.46.57","192.168.213.150","UDP","144","0.581591962","8801  >  38716 Len=102"
"34","0.581757309","192.168.213.150","159.124.46.57","UDP","69","0.581757309","51364  >  8801 Len=27"
"35","0.582654491","192.168.213.150","159.124.46.57","UDP","289","0.582654491","38716  >  8801 Len=247"
"36","0.582948504","159.124.46.57","192.168.213.150","UDP","69","0.582948504","8801  >  51364 Len=27"
"37","0.601815898","192.168.213.150","159.124.46.57","UDP","329","0.601815898","38716  >  8801 Len=287"
"38","0.620733824","192.168.213.150","159.124.46.57","UDP","340","0.620733824","38716  >  8801 Len=298"
"39","0.624077442","159.124.46.57","192.168.213.150","TCP","66","0.624077442","443  >  56222 [ACK] Seq=73 Ack=82 Win=16 Len=0 TSval=2052109522 TSecr=4022272261"
"40","0.628092717","159.124.46.57","192.168.213.150","TLSv1.2","104","0.628092717","Application Data"
"41","0.636319482","159.124.46.57","192.168.213.150","UDP","69","0.636319482","8801  >  51364 Len=27"
"42","0.636452018","192.168.213.150","159.124.46.57","UDP","69","0.636452018","51364  >  8801 Len=27"
"43","0.639858987","192.168.213.150","159.124.46.57","UDP","340","0.639858987","38716  >  8801 Len=298"
"44","0.643267404","159.124.46.57","192.168.213.150","TLSv1.2","115","0.643267404","Application Data"
"45","0.643354506","192.168.213.150","159.124.46.57","TCP","66","0.643354506","56222  >  443 [ACK] Seq=82 Ack=160 Win=501 Len=0 TSval=4022272372 TSecr=2052109522"
